,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
379,deep learning tensorflow,build deep learning algorithm tensorflow dive neural network apply skill business case career,111,All Levels,6,4.5,1528
380,selenium webdriver masterclass c,build automation framework learn everything selenium webdriver zero previous knowledge required nikolay advolodkin,562,All Levels,425,4.3,7445
381,build linux based raspberry pi drone,learn design build fly even code raspberry pi drone scratch caleb bergquist,70,Intermediate,55,4.4,254
382,build backend rest api python django beginner,finally create app fullyfunctioning user database crash course building rest api mark winterbottom,73,Beginner,5,4.6,1857
383,automated software testing python,learn automated software testing python bdd selenium webdriver postman focusing web application jose salvatierra,141,Intermediate,135,4.5,2081
384,microsoft sql z,complete guide sql querying brewster knowlton,81,All Levels,55,4.5,2290
385,beginner guide artificial intelligence unity,practical guide programming nonplayer character game penny de byl,70,Beginner,11,4.5,1368
386,programming kid beginner learn code scratch,scratch learn program create game fun scratch kid beginner parent teacher daniel ciocîrlan,38,Beginner,75,4.7,1644
387,allen bradley plc training rslogix series,course give person experience learn plc programming scratch using rslogix studio shane welcher,87,Beginner,215,4.2,386
388,complete android java developer course build apps,learn android development java android studio scratch week build diary app paulo dichone android java flutter developer teacher,228,All Levels,345,4.3,5326
389,complete io developer course swiftui,learn io development swift xcode build apps game instagram foursquare etc also discover swiftui codestars rob percival,299,All Levels,36,4.4,395
390,streaming big data spark streaming scala spark,handson example processing massive stream data real time cluster apache spark streaming sundog education frank kane,38,All Levels,65,4.5,2362
391,kotlin java developer,use java skill learn kotlin fast enhance career prospect master kotlin including java interoperability tim buchalka,90,All Levels,17,4.4,1415
392,tensorflow practical,master tensorflow google powerful machine learning library practical project dr ryan ahmed phd mba,82,All Levels,115,4.3,197
393,git github masterclass,add real world development team skill version control source control resume programming arsenal tim buchalkas learn programming academy,73,All Levels,115,4.4,355
394,building recommender system machine learning ai,help people discover new product content deep learning neural network machine learning recommendation sundog education frank kane,110,Intermediate,95,4.5,996
395,dissecting ruby rail become professional developer,dont simply follow tutorial learn really take become pro rail developer immersive course jordan hudgens,226,All Levels,40,4.7,2414
396,gui development python tkinter,master python gui development using tkinter build desktop application jose salvatierra,116,Intermediate,11,4.7,164
397,computer graphic modern opengl c,learn theory code behind modern opengl graphical application make game simulation ben cook,38,Intermediate,215,4.5,1017
398,google apps script complete course beginner advanced,learn power google suite product using apps script connect automate add advanced functionality laurence svekis,234,All Levels,18,4.4,962
399,docker java spring developer,master docker java spring use docker containerise java spring boot microservices docker compose inminutes official,63,All Levels,65,4.5,326
400,rest api design development management,learn rest api concept design best practice security practice swagger oai hand api management rajeev sakhuja,50,All Levels,7,4.3,2929
401,game developmentart create action game unityc,game development game artanimation create top shooter using unity c psgimp noa calice aka blackthornprod,52,Beginner,5,4.6,1207
402,go java full stack spring boot react,build first java full stack application react spring boot become java full stack java web developer inminutes official,130,Beginner,115,4.5,789
403,selftaught programmer,definitive guide programming professionally cory althoff,79,Beginner,6,4.5,216
404,advanced ai game goaloriented action planning,artificial intelligence creating complex game character behaviour simulation realtime strategy game penny de byl,40,Intermediate,8,4.8,54
405,machine learning practical workout realworld project,build practical project go zero hero deepmachine learning artificial neural network dr ryan ahmed phd mba,89,Beginner,14,4.5,275
406,shader development scratch unity cg,learn program graphic pipeline unity creating unique visual surface game object penny de byl,77,Intermediate,105,4.7,1867
407,understanding jira user manager admins,everything need know get started atlassians powerful agile project management issue tracker tool dan lefebvre,58,All Levels,75,4.4,4576
408,php oop object oriented programming beginner project,php oop learn oop php take skill another level make serious money building awesome application edwin diaz,224,All Levels,185,4.4,2632
409,mastering ansible,complete guide configuration management orchestration ansible chris lunsford,55,All Levels,5,4.3,5864
410,cucumber javabuild automation framework lesser code,step step cucumber bdd approach design powerful testing frameworkseleniumappiumapi minimalcode rahul shetty,61,All Levels,105,4.4,1658
411,nativescript angular build native io android web apps,use one angular nativescript codebase build native io android web apps learn nativescript scratch academind maximilian schwarzmüller,240,All Levels,205,4.5,1057
412,complete spark ar course build instagram ar effect,become spark ar developer building augmented reality camera effect instagram using spark ar studio ryan hafner,121,All Levels,7,4.4,93
413,shell scripting discover automate command line task,learn shell programming linux unix mac learn write shell script like pro solve realworld problem jason cannon,48,All Levels,6,4.2,4640
414,complete elixir phoenix bootcamp,master functional programming technique elixir phoenix learning build compelling web application stephen grider,152,All Levels,175,4.6,4545
415,unity game development build game,learn unity game design game development make c game unity mark price,116,Beginner,355,4.4,4562
416,rxjs practice free ebook,learn numerous rxjs operator learn rxjs reactive programming core concept via practical example angular university,46,All Levels,45,4.5,1593
417,complete io swift developer course build apps,use xcode swift make real io apps like uber instagram coreml arkit includes aws credit rob percival,305,All Levels,445,4.6,1711
418,deep learning prerequisite linear regression python,data science learn linear regression scratch build working program python data analysis lazy programmer inc,50,All Levels,6,4.6,3865
419,deep learning gans variational autoencoders,generative adversarial network variational autoencoders python theano tensorflow lazy programmer inc,53,Intermediate,75,4.6,1495
420,amazon ec master class auto scaling load balancer,aws ec expert learn autoscaling aws load balancing eb volume network vpc security group ec instance type stephane maarek aws certified solution architect developer,63,All Levels,5,4.7,1078
421,microsoft powerapps flow build business apps without code,learn build apps without code using microsoft powerapps microsoft flow powerful alternative syed raza,38,Beginner,35,4.0,1067
422,data science complete data science machine learning,machine learning az data science python machine learning math machine learning statistic data science jitesh khurkhuriya,281,All Levels,26,4.5,333
423,sql beginner learn sql using mysql database design,understand sql using mysql database learn database design data analysis normalization relationship tim buchalkas learn programming academy,122,Beginner,8,4.5,2908
424,essential coding interview question coding exercise,learn handy problem solving technique get handpicked problem get ready next coding interview yk sugi,35,Intermediate,2,4.5,2545
425,aws serverless analytics glue redshift athena quicksight,build exabyte scale serverless data lake solution aws cloud redshift spectrum glue athena quicksight siddharth mehta,119,All Levels,12,4.2,769
426,deep learning convolutional neural network python,computer vision data science machine learning combined theano tensorflow lazy programmer inc,53,Intermediate,75,4.6,2500
427,oracle sql become certified sql developer scratch,learn sql professional certification course hundred example including real exam question oracle master training student worldwide,121,All Levels,14,4.5,3031
428,learn c game development,learn basic c prepare game development programming stephen ulibarri,70,All Levels,125,4.6,612
429,complete python masterclass journey,master python use story based learning go beginner able create real program python jose portilla,108,All Levels,105,4.4,1979
430,board game developer become game design ninja,learn principle game design game development fundamental developing board game yann burrett,56,Beginner,11,4.4,1166
431,complete frontend web development course,get started frontend web developer using html cs javascript jquery bootstrap joseph delgadillo,117,All Levels,15,4.3,5546
432,complete java se developer bootcamp oca prep included,master foundation java topic oracle certified associate java se programmer exam z intertech training,165,All Levels,12,4.5,4151
433,deep reinforcement learning,smartest combination deep qlearning policy gradient actor critic ddpg hadelin de ponteves,61,Beginner,95,4.5,260
434,distributed system cloud computing java,learn distributed java application scale parallel programming distributed computing cloud software architecture michael pogrebinsky,51,All Levels,75,4.6,125
435,socketio websockets detail socket io v,socket io want learn harness realtime communication web cluster redis react robert bunch,68,Intermediate,14,4.6,527
436,javascript project application javascript game dom,javascript project apps build project javascript game monster javascript application portfolio game dom course laurence svekis,641,All Levels,465,4.7,252
437,learn sql using postgresql zero hero,master postgresql starting basic advanced feature like trigger plpgsql function window function cte bunker,180,Beginner,16,4.5,824
438,swiftui declarative interface apple device,updated xcode includes state binding observableobject mvvm web api core data core ml mohammad azam,126,All Levels,14,4.6,581
439,symfony web development guide beginner advanced,master symfony php framework theory simple crud app creating advanced real life application symfony laravel stuff,312,All Levels,245,4.1,423
440,deep learning python kera,understand build deep learning model image text using python kera data weekend,148,Intermediate,10,4.4,2310
441,sap shana training plain english,simple logistics sap functional consultant logistics sd mm siva prasad,54,Intermediate,7,4.4,2727
442,build social network scratch javascript php mysql,learn javascript php mysql building ultimate social network website scratch complete guide reece kenney,179,All Levels,165,4.5,1867
443,r programming statistic data science,r programming data science data analysis applying r statistic data visualization ggplot r career,125,All Levels,65,4.5,1558
444,build data visualization dj firebase,learn use v firebase firestore create dynamic svg data visualization bar chart pie chart net ninja shaun pelling,105,All Levels,105,4.8,720
445,robot framework test automation level selenium,fastest easiest way selenium test automation mobile test automation api test automation database bryan lamb,77,Beginner,65,4.4,4175
446,mastering sql server integration service ssispart,learn create ssis package scratch step step kameswara uppuluri,98,All Levels,105,4.3,2557
447,advanced rest apis flask python,take rest apis whole new level advanced flask python course jose salvatierra,131,Expert,125,4.5,281
448,complete jquery course beginner advanced,use jquery create stunning animation provide fast feedback form handle user event perform ajax call joe parys,51,All Levels,6,4.3,1760
449,apache kafka series confluent schema registry rest proxy,kafka master avro confluent schema registry kafka rest proxy build avro producersconsumers evolve schema stephane maarek aws certified solution architect developer,58,Intermediate,45,4.7,1036
450,angular crash course busy developer,limited time learn angular angular take course learn angular hour mosh hamedani,137,All Levels,105,4.5,14194
451,mern stack react node ecommerce scratch deployment,mern stack react node mongodb powered ecommerce app paypal credit card payment along admin dashboard ryan dhungel,162,All Levels,165,4.5,453
452,server side rendering react redux,build react redux react router apps using server side rendering ssr isomorphic universal j technique stephen grider,94,Intermediate,8,4.7,2420
453,openapi beginner guru,master openapi formerly swagger create specification apis john thompson,52,All Levels,5,4.5,111
454,qt c gui development beginner fundamental,build cross platform c gui application qt run window mac linux android io embedded device daniel gakwaya,75,Beginner,145,4.5,700
455,master laravel vuejs fullstack development,learn build single page application laravel php framework vuejs piotr jura,115,All Levels,135,4.5,103
456,cluster analysis unsupervised machine learning python,data science technique pattern recognition data mining kmeans clustering hierarchical clustering kde lazy programmer inc,41,Beginner,5,4.5,2940
457,complete php mysql professional course project,learn php mysql building project including php regular expression cm become full stack backend developer jazeb akram,149,All Levels,20,4.2,1724
458,deep learning prerequisite logistic regression python,data science technique professional student learn theory behind logistic regression code python lazy programmer inc,57,All Levels,6,4.6,2579
459,apache spark java developer,get processing big data using rdds dataframes sparksql machine learning real time streaming kafka richard chesterwood,143,All Levels,215,4.6,837
460,django python complete bundle django real world project,django python bundle learning basic python advanced python ui design tkinter django arash shahvar,359,All Levels,56,4.7,854
461,ngrx ngrx data complete guide free ebook,learn modern ngrx ecosystem including ngrx data store effect router store ngrx entity devtools angular university,52,All Levels,65,4.4,1493
462,learn devops advanced kubernetes usage,covering authentication authorization logging helm deploying spinnaker prometheus scheduling edward viaene,34,Expert,35,4.3,842
463,microsoft flow crash course,learn microsoft flow scratch alireza aliabadi,37,Beginner,4,4.5,689
464,deep learning recurrent neural network python,gru lstm modern deep learning machine learning data science sequence lazy programmer inc,53,All Levels,75,4.6,2296
465,complete nextjs react node beautiful portfolio app,master nextjs next react react node learn build isomorphic website incl seo blog deployment filip jerga,241,All Levels,385,4.4,351
466,matlabsimulink biblego zero hero,build practical project go beginner pro simulink projectbased simulink course dr ryan ahmed phd mba,41,All Levels,45,4.4,1216
467,introduction time series analysis forecasting r,work time series sort time related data r forecasting time series analysis predictive analytics rtutorials training,74,All Levels,85,4.4,1381
468,web component stenciljs build custom html element,complete introduction building custom html element web component without stenciljs academind maximilian schwarzmüller,143,All Levels,9,4.7,1046
469,microsoft sql server reporting service ssrs,build report sql server reporting service ssrs implement report layout add interactivity exam phillip burton,75,Beginner,6,4.3,1213
470,c beginner expert,designed people dont knowledge programming want program c arkadiusz włodarczyk,74,All Levels,155,4.3,7052
471,python rest apis flask docker mongodb aws devops,learn python coding restful apis using flask framework understand use mongodb docker tensor flow tim buchalkas learn programming academy,45,Beginner,105,4.2,789
472,signal processing problem solved matlab python,applicationsoriented instruction signal processing digital signal processing dsp using matlab python code mike x cohen,98,Beginner,125,4.6,597
473,selenium webdriver java novice ninja interview,join top rated best selenium course basic advanced level pom grid maven jenkins interview let kode,282,All Levels,42,4.6,7344
474,solid principle introducing software architecture design,gain mastery solid principle write clean welldesigned code object oriented language like java etc sujith george,27,Beginner,2,4.5,1392
475,c developer learn art writing clean code,learn technique write better c code stand technical interview mosh hamedani,20,All Levels,35,4.5,2511
476,gatsby tutorial project course,create blazingly fast website gatsby john smilga,323,Beginner,39,4.7,500
477,monitoring alerting prometheus,monitoring alerting infra apps using leading opensource monitoring system visualize using grafana edward viaene,35,Beginner,35,4.1,1176
478,design pattern python,discover modern implementation design pattern python dmitri nesteruk,107,Intermediate,9,4.5,396
479,blender character creator rigging humanoid character,learn blender basic rigging exporting game engine unity ben tristem,143,Beginner,265,4.6,854
480,build serverless app aws lambda hand,create chat web app using amazon web service lambda dynamodb api gateway cognito cloudfront sundog education frank kane,60,Beginner,75,4.6,1089
481,x assembly language ground,build assembly program x instruction set simd image processing algorithm dsp routine mmx sse avx israel gbati,75,All Levels,165,4.3,418
482,learn parallel programming c net,discover core multithreading parallelization concept supported net framework dmitri nesteruk,54,Intermediate,55,4.4,1327
483,python statistical analysis,master applied statistic python solving realworld problem stateoftheart software library samuel hinton,53,Beginner,85,4.7,268
484,golang ultimate guide microservices go part,everything need get serious microservices design development golang design production metric federico león,30,All Levels,155,4.3,110
485,python network engineer netmiko napalm pyntc telnet,program network using python learn network automation programmability practical course cisco network david bombal,182,Beginner,13,4.6,1633
486,microsoft dynamic developertechnical training part,updated complete dynamic customer engagement ce crm development course exmicrosoft employee satish reddy,49,All Levels,6,4.5,491
487,mastering sharepoint,leverage microsoft sharepoint feature capability maximum advantage packt publishing,36,Expert,4,4.2,134
488,complete developer guide mongodb,master mongodb mongoose design testdriven approach stephen grider,129,All Levels,135,4.5,5235
489,apache kafka series kafka monitoring operation,kafka monitoring setup prometheus grafana kafka operation kafka cluster upgrade handson setup aws stephane maarek aws certified solution architect developer,64,Expert,5,4.9,343
490,embedded system baremetal programming ground stm,library used professional cmsis standard arm cortex adcuarttimers gpiospiic etc israel gbati,64,Intermediate,115,4.2,302
491,webdriverio v selenium webdriver using nodejs,javascript automation testing webdriver io nextgen testing framework nodejs using selenium webdriver gianni bruno,181,All Levels,17,4.4,635
492,qc quantum computing quantum physic beginner,master quantum computing quantum cryptography quantum physic microsoft q q sharp ibm quantum experience kumaresan ramanathan,105,All Levels,35,4.3,468
493,bash shell scripting crash course beginner,learn bash shell scripting total beginnerstart command linefinish real world shell script project francesco santi,75,All Levels,55,4.5,1255
494,unreal vr dev make vr experience unreal engine c,created collaboration epic learn build stunning game tool vr design oculus rift steam vr gamedevtv team,82,Intermediate,17,4.5,386
495,build realworld app aspnet core angular,build fullstack web app aspnet core entity framework core angular angular mosh hamedani,162,Intermediate,105,4.4,4115
496,learn c building application,learn c c understanding core concept using build real world net console application avetis ghukasyan,100,All Levels,135,4.5,1807
497,webpack complete tutorial beginner,learn webpack basic advanced use webpack j cs npm babel node viktor pyskunov,52,All Levels,35,4.6,1298
498,master fourier transform application,learn fourier transform matlab python application digital signal processing image processing mike x cohen,54,All Levels,6,4.7,840
499,automation architect selenium webdriver live project,automation architect selenium webdriver live project learn indepth framework implementation live project rahul arora,219,All Levels,485,4.4,1077
500,oracle database c rac administration,extensive course lecture hour videobased session managing oracle c rac database ahmed baraka,60,All Levels,16,4.5,454
501,io swift app design uiux plus development,threeinone course teach app design uiux io development includes sketch figma gwinyai nyatsoka,492,Beginner,805,4.6,504
502,best qa manual software testing live projectagilejiraapi,ultimate qa manual testing course live project live demo real time interview question life time support richa mehta,24,All Levels,45,4.2,2160
503,getting started net core microservices rabbitmq,build net core microservices using rabbitmq messaging manish narayan,77,All Levels,45,4.4,364
504,uml objectoriented design foundation,get started objectoriented design unified modeling language uml use uml effective communication karoly nyisztor,40,Beginner,2,4.4,1185
505,unsupervised deep learning python,theano tensorflow autoencoders restricted boltzmann machine deep neural network tsne pca lazy programmer inc,85,Intermediate,105,4.6,1260
506,e javascript complete developer guide,e javascript development scratch get practice live example learn exactly apply e feature stephen grider,68,Beginner,6,4.5,8144
507,agile samurai bootcamp,everything need setup execute successfully deliver agile project jonathan rasmusson,34,All Levels,3,4.4,4799
508,microservices software architecture pattern technique,learn design implement microservice system using right architecture design pattern technique binary brain,18,All Levels,1,4.0,3824
509,complete git guide understand master git github,complete git github guide master basic advanced git feature commits branch merging rebasing squashing bogdan stashchuk,215,All Levels,18,4.7,146
510,beginner guide animation unity v v,ultimate guide unity mecanim covering keyframes curve inverse kinematics strafe set blending penny de byl,63,Beginner,115,4.6,1221
511,plc programming training scratch rslogix,plc programming scratch training class control engineer equipped plc system allen bradley rslogix vladimir romanov,91,All Levels,145,4.4,622
512,sql server administration part,sql education purpose raphael asghar,59,Beginner,10,4.5,2022
513,scala spark big data machine learning,learn latest big data technology spark scala including spark dataframes jose portilla,80,All Levels,10,4.4,3918
514,git github complete masterclass beginner git expert,comprehensive step step git github tutorial great easy understand example quiz bibhash roy,120,All Levels,125,4.4,1113
515,build multiplayer kart racing game unity v,learn vehicle physic game mechanic ai networking multiplayer kart racing experience penny de byl,65,Beginner,145,4.6,123
516,learn oauth get started api security expert,imagine could happen professional career skill oauth satisfied student matthias biehl,52,All Levels,4,4.3,1209
517,getting started apache cassandra,learn everything need know use apache cassandra infinite skill,124,All Levels,8,4.3,1767
518,feature selection machine learning,beginner advanced soledad galli,52,All Levels,5,4.6,735
519,complete asp net mvc web development newbie ninja,quickly learn web development asp net mvc c absolute basic ninja learn c mvc like pro brett hargreaves,92,All Levels,155,4.3,1984
520,unity c scripting complete c unity game development,learn c scripting unity game development absolute basic create game unity using c raja biswas,114,Beginner,255,4.6,658
521,docker java developer,learn use docker supercharge enterprise java development john thompson,104,Intermediate,10,4.2,1890
522,materialize cs scratch project,master html materialize cs framework building real world responsive material design based theme brad traversy,63,All Levels,105,4.8,1261
523,sql advanced,lead enhance sql skill transform senior sql developer learn sql amarnath reddy,82,Expert,5,4.4,1131
524,make first game unity c beginner course,beginner course game development learn use unity program c making small game z noa calice aka blackthornprod,45,Beginner,4,4.5,809
525,game artist design simple pixel art scratch,make art game icon animation using gimp free photoshop alternative ben tristem,103,Beginner,185,4.5,959
526,complete apache groovy developer course,learn program using apache groovy dan vega,129,All Levels,135,4.3,1917
527,azure devops board project managersanalystdevelopers,microsoft project management tool azure devops board tfs vsts azure devops patrick video,7,Beginner,15,4.4,1023
528,learn java unit testing junit mockito step,learn mockito junit popular java unit testing mocking framework example inminutes official,38,All Levels,5,4.4,2753
529,apache kafka realtime stream processing master class,processing realtime stream using apache kafka kafka stream api start beginner finish pro learning journal prashant kumar pandey,75,All Levels,11,4.6,136
530,io swift complete io app development bootcamp,beginner io app developer one course angela yu,525,All Levels,555,4.7,125
531,xero online accounting learn xero day,need get registered setup confident using xero uk qualified accountant xero certified advisor marion thomson,70,All Levels,4,4.5,551
532,beginner guide machine learning unity,advanced game ai genetic algorithm neural network qlearning c tensorflow unity penny de byl,77,Intermediate,13,4.5,1207
533,serverless react aws amplify complete guide,build fullstack react apps faster ever scale million user run entirely cloud reed barger,62,All Levels,85,4.4,561
534,build blockchain cryptocurrency scratch,build blockchain cryptocurrency discover engineering idea behind technology like bitcoin ethereum david joseph katz,71,Intermediate,65,4.5,1836
535,complete python scripting automation,automate repetitive task python python scripting automation automation python python automation narendra p,100,Beginner,245,4.5,202
536,sdettest architect essential road full stack qa,advanced tutorial learn essential skill needed transform career qa engineer sdettest architect rahul shetty,72,All Levels,13,4.5,623
537,docker crash course busy devops developer,learn develop deploy web application docker technology take devops skill next level tao w,49,All Levels,3,4.4,8598
538,terraform aws beginner advanced fast track,learn terraform quickly easily effectively tj addams,47,All Levels,3,4.7,186
539,azure devops fundamental beginner,learn plan manage deploy first azure devops application handson demo use case brian culp,41,Intermediate,3,4.4,376
540,build real world application blazor net core,build real world application using blazor allows developer run c browser bhrugen patel,57,Beginner,35,4.3,135
541,complete linear algebra data science machine learning,linear algebra data science big data machine learning engineering computer science master linear algebra kashif,210,All Levels,18,4.7,263
542,mathematical foundation machine learning ai,learn core mathematical concept machine learning learn implement r python eduonix learning solution,19,All Levels,45,4.3,810
543,user story agile scrumproduct ownerbusiness analysis,complete overview requirement user story template epic splitting acceptance criterion business analyst example paul ashun,27,All Levels,15,4.1,1597
544,practical data structure algorithm java hw,go zero hero important algorithm data structure using java imtiaz ahmad,45,All Levels,115,4.6,3987
545,laravel vuejs fullstack web development,learn build restful api single page application laravel vuejs scratch compatible laravel eding muhamad saprudin,184,All Levels,25,4.6,360
546,laravel complete guide real world project,build simple advanced web application using phps popular web framework completely rerecorded kati frantz,196,All Levels,24,4.4,1579
547,learn understand dj data visualization,dive deep hood dj learn core concept build stunning data visualization using version x luis ramirez jr,84,All Levels,105,4.5,601
548,aws dynamodb complete guide build hand demo,master amazon dynamodb serverless nosql aws database integrate dynamodb w web mobile apps nodejs rest api rizmax academy riyaz sayyad,121,All Levels,165,4.2,725
549,vue j essential vuex vue router,limited time learn vue vuex vue router take course learn vue hour stephen grider,139,Beginner,105,4.5,1291
550,facebook clone laravel tdd vue tailwind cs,learn code social network platform powered laravel api built using vue single page application victor gonzalez,64,Intermediate,9,4.7,104
551,programming microsoft c exam,training mcsd window store apps using c certification infinite skill,101,Beginner,85,4.3,2169
552,apache kafka series ksql ksqldb stream processing,use sql apache kafka confluent ksqldb build entire taxi booking application based ksql stream processing stephane maarek aws certified solution architect developer,36,Beginner,4,4.6,326
553,apache spark big data essential w scala rock jvm,updated learn practical big data scala apache spark spark dataframes datasets rdds spark sql daniel ciocîrlan,25,Intermediate,75,4.8,125
554,objectoriented programming javascript,learn oop understand confusing part javascript prepare technical interview mosh hamedani,64,Intermediate,4,4.6,2076
555,data science supervised machine learning python,full guide implementing classic machine learning algorithm python scikit learn lazy programmer inc,52,Beginner,6,4.6,1490
556,io make amazing iphone apps xcode swift,learn swiftui dark mode sign apple swift package manager sf symbol new xcode swift nick walter,94,Beginner,12,4.6,208
557,rocking aws serverless real world guide,learn aws serverless architecture lambda api gateway devops cicd dynamodb sam cloud serverless framework rajdeep saha cloud architect fortune company,175,All Levels,16,4.7,138
558,sql server integration service ssis introduction,learn basic sql server integration service ssis practical activity useful certification phillip burton,46,Beginner,4,4.4,1768
559,firebase firestore masterclass,fullstack development angular firestore firebase storage hosting firebase cloud function angularfire angular university,63,All Levels,7,4.4,374
560,learn aws deploy java spring boot aws elastic beanstalk,learn aws deploying java spring boot apps aws elastic beanstalk take java spring boot rest apis full stack aws inminutes official,66,Beginner,65,4.5,366
561,ssl complete guide http http,configure cloudflare free let encrypt ssltls certificate nginx apache web server create csr ssl request bogdan stashchuk,110,All Levels,11,4.4,307
562,learn spring boot step beginner expert,become expert spring boot developing rest api spring mvc web application step inminutes official,119,All Levels,135,4.2,2257
563,python exercise evaluate improve skill,boost python skill solving python assignment ranging easy expert level solution included ardit sulce,207,All Levels,3,4.3,1465
564,machine learning ai support vector machine python,artificial intelligence data science algorithm python classification regression lazy programmer inc,72,Expert,9,4.6,322
565,complete javascript course beginner professional,course need become javascript developer javascript project e json ajax much codestars rob percival,402,All Levels,35,4.4,1533
566,android jetpack masterclass kotlin,kotlin room navigation data binding mvvm notification permission lot catalin stefan,69,All Levels,10,4.6,335
567,complete window powershell scripting course,leverage power window powershell script automate manage environment mletech academy llc,49,All Levels,6,4.2,355
568,sap hana implementation modeling reporting course,learn build real time platform using sap hana best selling product history sap junaid ahmed,110,All Levels,125,4.0,1641
569,unity tech art realistic lighting game development,learn aaa cinematic tech art technique unity game engine global illumination shader graph wilmer lin,63,Beginner,105,4.7,489
570,electron desktop apps complete developer guide,use electron framework build compelling cross platform desktop application latest web dev technology stephen grider,77,Beginner,8,4.5,2263
571,build eu gdpr data protection compliance scratch cipt,free gdpr template documentation practical gdpr blueprint ciptcipmcippe certification preparation roland costea,152,All Levels,125,4.3,863
572,angular front back,master angular basic building advanced application firebase firestore well authentication brad traversy,73,All Levels,115,4.6,5398
573,full stack web development,learn full stack web development building project eduonix learning solution,208,Beginner,33,4.3,2129
574,c developer double coding speed visual studio,fast coding technique every c developer must know mosh hamedani,33,All Levels,25,4.3,2009
575,advanced javascript,three hour learn enough javascript transform junior j dev senior j guru asim hussain,25,Intermediate,35,4.5,4408
576,complete guide django rest framework vue j,build professional rest apis single page application django vue j michele saba,84,Intermediate,135,4.5,402
577,neoj graphdb foundation cypher,learn graph database gain fundamental skill use neoj next project louis sayers,71,Beginner,4,4.5,1551
578,processing event logstash includes filebeat,process event logstash key part elk stack elasticsearch logstash kibana elastic stack bo andersen,53,All Levels,55,4.5,643
579,terraform indepth realworld job casestudies,terraform aws job casestudies docker kubernetes terraform ansibleeks modulesinterpolation gcpazure cloudops academy,160,All Levels,12,4.1,306
580,java memory management,java professional need know memory garbage collection tuning vm avoiding memory leak matt greencroft,31,Intermediate,35,4.5,3417
581,devops cicd jenkins pipeline maven gradle,build continuous integration continuous delivery devops pipeline java gradle maven artifactory sqitch tetranoodle team,30,All Levels,35,4.2,2600
582,user story masterclass indepth guide user story,increase agile project success learning effectively write split map user story acceptance criterion ba guide jeremy aschenbrenner,51,All Levels,2,4.5,134
583,python django web development todo app,learn database driven web development django python john elder,31,Beginner,2,4.6,690
584,django masterclass build web apps python django,learn django scratch build ecommerce store web based pdf generator web crawler apis using python django ashutosh pawar,135,All Levels,155,4.5,139
585,master object oriented design java homework solution,dont learn java learn write practical industry standard object oriented software super charge career imtiaz ahmad,39,All Levels,55,4.5,3457
586,kotlin android beginner advanced,kotlin expressive concise powerful development language android learn everything need know start devslopes mark price,101,Beginner,23,4.4,1900
587,unity game development master class,become game developer brian cox,231,Beginner,19,4.5,52
588,build app react redux firestore scratch,learn build web app react redux firestore beginning publishing neil cummings,253,Beginner,29,4.7,986
589,wordpress frontend development elementor,build site want using powerful wordpress page builder theme creator andrew williams,58,All Levels,6,4.7,107
590,build reactive restful apis using spring bootwebflux,learn write reactive programming spring using webfluxreactor build reactive restful apis dilip,89,All Levels,95,4.4,625
591,make tile based platform game gamemaker studio,learn basic build fun creative platform game including trick add polished professional feature peter morgan,89,All Levels,11,4.6,503
592,drupal tutorial drupal beginner advanced project,learn latest drupal tutorial handson complete real life example bonus assignment tip trick pitfall srikanth shirodkar,79,Beginner,75,4.4,1171
593,complete flutter ui masterclass io android dart,learn build beautiful comprehensive io android user interface using flutter dart marcus ng,34,All Levels,4,4.6,94
594,aws data architect bootcamp service faq tool,aws database emr sagemaker iot redshift glue quicksight rds aurora dynamodb kinesis rekognition much siddharth mehta,295,All Levels,305,4.3,251
595,grpc java master class build modern api micro service,better rest api build fast scalable http api microservice grpc protocol buffer protobuf stephane maarek aws certified solution architect developer,69,Intermediate,55,4.6,458
596,java new feature simple way,direct class room video give left right anywhere lambda expressionsstreams durgasoft durga,93,All Levels,205,4.6,3578
597,advanced c programming pointer,master pointer address memory allocation c huw collingbourne,65,Intermediate,4,4.5,1449
598,learning terraform microsoft azure,course take initial setup though deploying multilocation web service l training,57,All Levels,7,4.3,560
599,tech exploration kicad like pro nd edition,learn world favourite opensource pcb design tool world comprehensive course dr peter dalmaris,165,Beginner,175,4.6,570
600,master aws fargate ec java spring boot microservices,learn aws ec aws fargate java spring boot docker microservices get started amazon web service inminutes official,89,All Levels,8,4.5,162
601,complete json ajax api course beginner professional,learn use json get json data using ajax course includes practice exercise example using json ajax laurence svekis,277,Beginner,205,4.4,406
602,pytorch deep learning computer vision,build highly sophisticated deep learning computer vision application pytorch rayan slim,135,All Levels,165,4.4,759
603,angular testing masterclass free ebook,complete guide angular unit testing end end ee testing including testing best practice ci angular university,44,All Levels,5,4.5,292
604,complete web automation excel vba,fill web form dynamically navigate web page intuitively extract manipulate data increase efficiency daniel strong,140,Intermediate,85,4.6,447
605,complete regular expression course beginner,regular expression regex javalinuxjavascriptpython language illustrated exercisesexamples sujith george,33,Beginner,35,4.6,1473
606,learn api technical writing json xml writer,api documentation teach technical writer document structured data programming experience required peter gruenbaum,16,Beginner,15,4.5,2424
607,modern java learn java feature coding,learn lambda stream new date apis optionals parallel programming java coding dilip,102,All Levels,11,4.4,915
608,automation framework development selenium c advanced,endtoend selenium automation framework development course karthik kk,111,All Levels,125,4.4,614
