,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
50,react nodejs express mongodb mern fullstack guide,build fullstack reactjs application nodejs expressjs mongodb mern projectfocused course academind maximilian schwarzmüller,206,All Levels,19,4.7,924
51,python financial analysis algorithmic trading,learn numpy panda matplotlib quantopian finance algorithmic trading python jose portilla,121,All Levels,17,4.5,9565
52,modern python bootcamp,unique interactive python experience nearly exercise quiz colt steele,374,Beginner,305,4.6,14864
53,c basic beginner learn c fundamental coding,master c fundamental hour popular course student packed tip exercise mosh hamedani,87,Beginner,55,4.5,30875
54,learn python ethical hacking scratch,start learn topic simultaneously scratch writing hacking program zaid sabih,176,All Levels,235,4.6,6742
55,complete react native hook course edition,understand react native hook context react navigation stephen grider,419,All Levels,39,4.6,28994
56,complete tensorflow kera deep learning bootcamp,learn use python deep learning google latest tensorflow library kera jose portilla,115,All Levels,19,4.6,801
57,complete android oreo developer course build apps,learn android app development using java kotlin build real apps including super mario run whatsapp instagram rob percival,272,All Levels,375,4.5,7726
58,scrum certification prep scrum master agile scrum training,overview scrum agile project managementcommon questionstips pas psm scrum org online scrum master certification paul ashun,65,All Levels,3,4.4,14326
59,mongodb complete developer guide,master mongodb development web mobile apps crud operation index aggregation framework mongodb academind maximilian schwarzmüller,263,All Levels,175,4.6,5680
60,c programming beginner master c language,c programming increase career option become better dev language learning c pointer explained tim buchalkas learn programming academy,137,All Levels,24,4.4,9000
61,modern html cs beginning including sas,build modern responsive website uis html cs sas learn flex cs grid brad traversy,128,All Levels,21,4.7,6946
62,complete android n developer course,learn android app development android nougat building real apps including uber whatsapp instagram rob percival,272,All Levels,325,4.4,24007
63,data science az reallife data science exercise included,learn data science step step real analytics example data mining modeling tableau visualization kirill eremenko,213,All Levels,21,4.6,22828
64,javascript algorithm data structure masterclass,missing computer science coding interview bootcamp colt steele,249,All Levels,22,4.7,6417
65,modern javascript beginning,learn build project pure javascript framework library brad traversy,122,All Levels,215,4.7,15421
66,complete machine learning data science zero mastery,learn data science data analysis machine learning artificial intelligence python tensorflow panda andrei neagoie,354,All Levels,425,4.7,599
67,tensorflow deep learning artificial intelligence,neural network computer vision time series forecasting nlp gans reinforcement learning lazy programmer inc,124,All Levels,205,4.7,701
68,statistic data science business analysis,statistic need office descriptive inferential statistic hypothesis testing regression analysis career,92,All Levels,5,4.5,10273
69,build app aspnet core angular scratch,practical example build application aspnet core webapi v angular v start finish neil cummings,218,Beginner,29,4.6,8984
70,master microservices spring boot spring cloud,awesome journey restful web service microservices java spring boot spring cloud inminutes official,135,All Levels,11,4.4,14739
71,apache kafka series learn apache kafka beginner v,start learn apache kafka ecosystem core concept real world java producersconsumers big data architecture stephane maarek aws certified solution architect developer,123,All Levels,75,4.7,12483
72,rpg core combat creator learn intermediate unity c coding,build combat role playing game rpg unity improve c sharp code architecture game level design ben tristem,188,Intermediate,275,4.7,6012
73,ultimate guide game development unity,created partnership unity technology learn c developing game comprehensive guide jonathan weinberger,300,Beginner,21,4.6,10049
74,become wordpress developer unlocking power code,learn php javascript wordpress theming wp rest api create custom interactive wordpress website brad schiff,113,All Levels,27,4.7,8359
75,complete oracle sql certification course,dont learn sql language become jobready launch career certified oracle sql developer imtiaz ahmad,38,All Levels,10,4.5,15246
76,c intermediate class interface oop,indepth stepbystep guide class interface objectoriented programming oop c mosh hamedani,45,Intermediate,6,4.5,16491
77,nodejs express mongodb complete bootcamp,master node building realworld restful api web app authentication nodejs security payment jonas schmedtmann,227,All Levels,42,4.7,2167
78,angular nodejs mean stack guide edition,learn connect angular frontend nodejs express mongodb backend building real application maximilian schwarzmüller,149,All Levels,125,4.6,14569
79,advanced javascript concept,learn modern advanced javascript practice top javascript developer andrei neagoie,216,All Levels,25,4.7,3933
80,typescript complete developer guide,master typescript learning popular design pattern building complex project includes react express stephen grider,278,All Levels,245,4.7,2454
81,rest apis flask python,build professional rest apis python flask flaskrestful flasksqlalchemy jose salvatierra,170,Intermediate,175,4.6,8082
82,complete junior senior web developer roadmap,go junior developer senior developer learn technical skill senior web developer know andrei neagoie,394,Intermediate,355,4.7,4195
83,learn code google go golang programming language,ultimate comprehensive course perfect beginner experienced developer todd mcleod,373,All Levels,465,4.4,12105
84,complete c masterclass,learn c programming wpf database linq collection game development unity c basic denis panjuta,224,All Levels,315,4.5,5822
85,javascript understanding weird part,advanced javascript course everyone scope closure prototype build framework anthony alicea,85,All Levels,115,4.7,35648
86,web project vanilla javascript,build mini frontend project scratch html cs javascript framework library brad traversy,121,Beginner,16,4.8,471
87,complete wordpress website business course,master wordpress complete wordpress course without learning code without programming rob percival,105,All Levels,215,4.4,10655
88,complete data science machine learning bootcamp,learn python tensorflow deep learning regression classification neural network artificial intelligence philipp muellauer,207,All Levels,415,4.5,1111
89,learn devops complete kubernetes course,kubernetes run manage containerized application learn build deploy use maintain kubernetes edward viaene,142,All Levels,135,4.4,9383
90,php beginner become php master cm project,php beginner learn everything need become professional php developer practical exercise project edwin diaz,344,All Levels,38,4.4,14849
91,coding interview bootcamp algorithm data structure,ace next javascript coding interview mastering data structure algorithm stephen grider,135,All Levels,13,4.6,8640
