,_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
116,5e41142c70dfe123d09ba42b,web design beginn real world come html iss,"4.6
(7,941 ratings)",launch career web design learn html case respons design pass cross devic incompat bad chief,59 lectures,All Levels,9 hours
117,5e41142c70dfe123d09ba42c,cava program complet beginn,"4.4
(4,990 ratings)",learn cava program 200 code exampl absolut cava beginn start learn cava program in28minut offici,300 lectures,Beginner,26 hours
118,5e41142c70dfe123d09ba42d,men stick front back full stick react red node,"4.7
(7,800 ratings)",build deploy social network node express react red mongodb fulli updat april 2019 bad travers,73 lectures,Intermediate,12 hours
119,5e41142c70dfe123d09ba42e,rest apt testingautom scratch assur cava,"4.5
(6,830 ratings)",updatedtop rang 1 apt test automat potman cours basi framework ton real time apt exampl paul hetti,142 lectures,All Levels,24.5 hours
120,5e41142c70dfe123d09ba42f,complet patron cours learn patron,"4.5
(5,197 ratings)",go beginn expert patron build project best invest patron journey codestar rob perciv,343 lectures,All Levels,35.5 hours
121,5e41142c70dfe123d09ba430,apach spark scala hand big data,"4.5
(9,657 ratings)",dive right 20 hand exampl analyz larg data set apach spark desktop hadoop sunday educ frank lane,56 lectures,All Levels,7.5 hours
122,5e41142c70dfe123d09ba431,complet react develop cours w hook red,"4.7
(14,272 ratings)",learn build launch react web applic use react red webpack reactrout andrew mead,200 lectures,Beginner,39 hours
123,5e41142c70dfe123d09ba432,data scienc machin learn bootcamp r,"4.6
(9,328 ratings)",learn use r program languag data scienc machin learn data visual jose gorilla,127 lectures,All Levels,18 hours
124,5e41142c70dfe123d09ba433,patron 3 deep dive part 1 function,"4.7
(2,789 ratings)",variabl function function program closur decor nodul packag fred baptist,158 lectures,Intermediate,44.5 hours
125,5e41142c70dfe123d09ba434,learn c program beginn advanc deep dive c,"4.6
(2,967 ratings)",classroom hand session featur c 11 except handl st academ industri bare,279 lectures,All Levels,30.5 hours
126,5e41142c70dfe123d09ba435,r program advanc analysi r data scienc,"4.6
(4,819 ratings)",take r r studio skill next level data analysi data scienc statist analysi busi ggplot2 kiril eremenko,51 lectures,Intermediate,6 hours
127,5e41142c70dfe123d09ba436,bootstrap 4 scratch 5 project,"4.6
(9,626 ratings)",master bootstrap 4 build 5 real world theme learn html semant case bad travers,74 lectures,All Levels,11.5 hours
128,5e41143970dfe123d09ba437,andro pp develop masterclass use olin,"4.4
(2,372 ratings)",learn olin andro pp develop becom andro develop inch olin tutor andro tutor video tim buchalka,317 lectures,Beginner,54.5 hours
129,5e41143970dfe123d09ba438,progress web ape pa complet guid,"4.7
(6,773 ratings)",build progress web pp pa feel like andro pp use devic camera push modif academ maximilian schwarzmüller,206 lectures,All Levels,16 hours
130,5e41143970dfe123d09ba439,react front back,"4.7
(2,953 ratings)",learn modern react 168 includ hook context apt full stick men red build real life project bad travers,91 lectures,All Levels,14 hours
131,5e41143970dfe123d09ba43a,data analysi hand patron,"4.6
(7,596 ratings)",analyz data quickli easili patron power hand librari dataset includ beginn welcom bori paskhav,176 lectures,All Levels,19 hours
132,5e41143970dfe123d09ba43b,opium mobil automat test scratch framework,"4.4
(6,903 ratings)",opium top class 200 lectur mobil automat basi framework level real time exampl paul hetti,181 lectures,All Levels,30 hours
133,5e41143970dfe123d09ba43c,complet rubi rail develop cours,"4.5
(9,446 ratings)",learn make innov web ape rubi rail unless creativ rob perciv,381 lectures,All Levels,44.5 hours
134,5e41143970dfe123d09ba43d,serverless axi ape complet introduct,"4.6
(6,810 ratings)",get serverless comput apt gateway labia amazon web servic zero server confirm axi spa academ maximilian schwarzmüller,142 lectures,All Levels,8 hours
135,5e41143970dfe123d09ba43e,git complet definit stepbystep guid git,"4.4
(9,495 ratings)",go zero hero git sourc control stepbystep easi understand exampl becom next git expert jason taylor,84 lectures,All Levels,6 hours
136,5e41143970dfe123d09ba43f,node react fullstack web develop,"4.6
(10,320 ratings)",build deploy fullstack web ape node react red express mongodb stephen rider,207 lectures,All Levels,26 hours
137,5e41143970dfe123d09ba440,patron comput vision open deep learn,"4.5
(2,583 ratings)",learn latest techniqu comput vision patron open deep learn jose gorilla,92 lectures,Intermediate,14 hours
138,5e41143970dfe123d09ba441,patron data structur algorithm interview,"4.4
(6,413 ratings)",get kick start career ace come interview jose gorilla,228 lectures,Intermediate,17 hours
139,5e41143970dfe123d09ba442,web develop w gorg go go program languag,"4.7
(4,011 ratings)",learn web program univers professor comput scienc 15 year teach experi told mcleod,171 lectures,Intermediate,19 hours
140,5e41143970dfe123d09ba443,modern react bootcamp hook context next outer,"4.7
(2,647 ratings)",publish follow curriculum teach student 10 project includ one huge applic colt steel,312 lectures,Beginner,39 hours
141,5e41143970dfe123d09ba444,terrifi develop associ practic exam,"4.7
(596 ratings)",terrifi develop cover terrifi develop topic pass terrifi develop associ exam bon terrifi solut architect terrifi develop,5 practice tests,294 questions,294 questions
142,5e41143970dfe123d09ba445,modern javascript bootcamp,"4.7
(7,550 ratings)",learn javascript build realworld ape includ 3 realworld project 80 program challeng es6es7 andrew mead,155 lectures,All Levels,29.5 hours
143,5e41143970dfe123d09ba446,patron time seri data analysi,"4.6
(1,770 ratings)",learn use patron hand jump statsmodel time seri forecast analysi jose gorilla,93 lectures,Intermediate,15 hours
144,5e41144570dfe123d09ba447,modern javascript novic nina,"4.8
(2,555 ratings)",creat awesom javascript driven web ape modern javascript begin right ninjalevel net nina tell,173 lectures,All Levels,19 hours
145,5e41144570dfe123d09ba448,drop masterclass doctor kubernet jerk drop,"4.2
(2,207 ratings)",drop special absolut beginn jerk doctor kubernet code pipelin hand exercis levelup360 drop,266 lectures,All Levels,44 hours
146,5e41144570dfe123d09ba449,patron 3 deep dive part 4 top,"4.7
(284 ratings)",patron object torment program top fred baptist,162 lectures,Intermediate,35 hours
